"","the_geom.type","borocode","boroname","borocd","coundist","assemdist","stsendist","congdist","siteid","benchid","category","benchtype","installati","address","geocodeadd","street","crossstree","borough","comdist","busroute","bid","latitude","longitude","femafldz","femafldt","hrcevac"
"1","Point","5","Staten Island","503","51","62","24","11","2639.0","1616.0","Municipal Facilities","backed",2014-08-06,"58 Summit Street","330 Yetman Avenue","Yetman Avenue","Brighton Street and Yetman Avenue","Staten Island","503.0","Not Applicable","Not Applicable","40.509037","-74.244118","X","AREA OF MINIMAL FLOOD HAZARD",NA
"2","Point","5","Staten Island","503","51","62","24","11","760.0","398.0","General","backless",2012-12-21,"100 Luten Avenue","100 Luten Avenue","Luten Avenue","Eylandt Street & Deisius Street","Staten Island","503.0","S55","Not Applicable","40.528092","-74.192032","X","AREA OF MINIMAL FLOOD HAZARD","6"
"3","Point","5","Staten Island","503","51","62","24","11","760.0","422.0","General","backless",2012-12-21,"100 Luten Avenue","100 Luten Avenue","Luten Avenue","Eylandt Street & Deisius Street","Staten Island","503.0","S55","Not Applicable","40.528092","-74.192032","X","AREA OF MINIMAL FLOOD HAZARD","6"
"4","Point","5","Staten Island","503","51","62","24","11","3474.0","2336.0","General","backed",2016-12-20,"856 Annadale Road","856 Annadale Road","Annadale Road","Belfield Avenue & Jefferson Boulevard","Staten Island","503.0","S55","Not Applicable","40.541244","-74.177361","X","AREA OF MINIMAL FLOOD HAZARD",NA
"5","Point","5","Staten Island","503","51","62","24","11","1817.0","479.0","General","backed",2013-03-06,"455 Huguenot Avenue","929 Woodrow Road","Woodrow Road","Woodrow Road & Boulder Street","Staten Island","503.0","S56","Not Applicable","40.54438","-74.197897","X","AREA OF MINIMAL FLOOD HAZARD",NA
"6","Point","5","Staten Island","503","51","62","24","11","2682.0","1501.0","Municipal Facilities","backed",2014-08-06,"380 Genesee Avenue","380 Genesee Avenue","Genesee Avenue","Wainwright Avenue & Richmond Avenue","Staten Island","503.0","Not Applicable","Not Applicable","40.552523","-74.169464","X","AREA OF MINIMAL FLOOD HAZARD",NA
"7","Point","5","Staten Island","502","50","64","24","11","3196.0","2056.0","General","backed",2016-04-13,"2488 Hylan Boulevard","2488 Hylan Boulevard","Hylan Boulevard","Jacques Avenue & New Dorp Lane","Staten Island","502.0","S78","Not Applicable","40.570692","-74.109521","X","AREA OF MINIMAL FLOOD HAZARD","4"
"8","Point","5","Staten Island","503","50","62","24","11","2640.0","1613.0","Municipal Facilities","backed",2014-08-06,"30 Natick Street","30 Natick Street","Natick Street","Mapplewood Avenue and Wilder Avenue","Staten Island","503.0","Not Applicable","Not Applicable","40.571187","-74.132634","X","AREA OF MINIMAL FLOOD HAZARD",NA
"9","Point","5","Staten Island","502","50","64","24","11","3654.0","2338.0","Senior Safety","backed",2016-12-27,"324 New Dorp Lane","324 New Dorp Lane","New Dorp Lane","Clawson Street & Hylan Blvd.","Staten Island","502.0","Not Applicable","Not Applicable","40.571497","-74.111697","X","AREA OF MINIMAL FLOOD HAZARD","5"
"10","Point","5","Staten Island","502","50","64","24","11","2501.0","1178.0","Municipal Facilities","backed",2014-06-05,"309 New Dorp Lane","309 New Dorp Lane","New Dorp Lane","Edison Street and Clawson Street","Staten Island","502.0","Not Applicable","Not Applicable","40.571854","-74.112327","X","AREA OF MINIMAL FLOOD HAZARD","5"
